,external_author_id,author,content,region,language,publish_date,harvested_date,following,followers,updates,post_type,account_type,retweet,account_category,new_june_2018,alt_external_id,tweet_id,article_url,tco1_step1,tco2_step1,tco3_step1
724672,2630842499,DAILYSANDIEGO,Obama says he'll meet with attorney general on gun options  #politics,United States,English,1/1/2016 16:33,1/1/2016 16:33,7031,12213,10355,,local,0,NewsFeed,0,2630842499,682962909610151936,http://twitter.com/DailySanDiego/statuses/682962909610151936,,,
724673,2630842499,DAILYSANDIEGO,A port for all  #local #news,United States,English,1/1/2016 16:54,1/1/2016 16:55,7031,12212,10356,,local,0,NewsFeed,0,2630842499,682968260178886656,http://twitter.com/DailySanDiego/statuses/682968260178886656,,,
724674,2630842499,DAILYSANDIEGO,San Diego International Auto Show runs through Sunday  #local #SanDiego,United States,English,1/1/2016 17:48,1/1/2016 17:48,7031,12212,10357,,local,0,NewsFeed,0,2630842499,682981729414467586,http://twitter.com/DailySanDiego/statuses/682981729414467586,,,
724675,2630842499,DAILYSANDIEGO,"New laws in 2016 show states are diverging on guns, voting  #politics",United States,English,1/1/2016 18:13,1/1/2016 18:13,7031,12212,10358,,local,0,NewsFeed,0,2630842499,682988055607644161,http://twitter.com/DailySanDiego/statuses/682988055607644161,,,
724676,2630842499,DAILYSANDIEGO,New Year's Day closures around San Diego County  #local #SanDiego,United States,English,1/1/2016 19:17,1/1/2016 19:17,7031,12213,10359,,local,0,NewsFeed,0,2630842499,683004025814433792,http://twitter.com/DailySanDiego/statuses/683004025814433792,,,
724677,2630842499,DAILYSANDIEGO,Obama-Seinfeld show: 'Comedians in Cars Getting Coffee' airs  #politics,United States,English,1/1/2016 19:52,1/1/2016 19:52,7031,12213,10360,,local,0,NewsFeed,0,2630842499,683012820439404544,http://twitter.com/DailySanDiego/statuses/683012820439404544,,,
724678,2630842499,DAILYSANDIEGO,#politics New Law Aims to Regulate Medical Marijuana Industry,United States,English,1/1/2016 1:10,1/1/2016 1:10,7034,12205,10342,,local,0,NewsFeed,0,2630842499,682730675577815044,http://twitter.com/DailySanDiego/statuses/682730675577815044,,,
724679,2630842499,DAILYSANDIEGO,George Lucas apologizes for calling Disney 'white slavers'  #business,United States,English,1/1/2016 1:39,1/1/2016 1:39,7034,12206,10343,,local,0,NewsFeed,0,2630842499,682737821619113985,http://twitter.com/DailySanDiego/statuses/682737821619113985,,,
724680,2630842499,DAILYSANDIEGO,Law enforcement cracking down on drunk driving during New Year's  #local #SanDiego,United States,English,1/1/2016 1:46,1/1/2016 1:46,7034,12206,10344,,local,0,NewsFeed,0,2630842499,682739628068093952,http://twitter.com/DailySanDiego/statuses/682739628068093952,,,
724681,2630842499,DAILYSANDIEGO,AP-NORC Poll: Online surveillance is OK for most  #politics,United States,English,1/1/2016 1:49,1/1/2016 1:49,7034,12206,10345,,local,0,NewsFeed,0,2630842499,682740288125702144,http://twitter.com/DailySanDiego/statuses/682740288125702144,,,
724682,2630842499,DAILYSANDIEGO,Mira Mesa High School marching band in Rose Parade  #local #SanDiego,United States,English,1/1/2016 20:53,1/1/2016 20:53,7031,12214,10361,,local,0,NewsFeed,0,2630842499,683028301238013953,http://twitter.com/DailySanDiego/statuses/683028301238013953,,,
724683,2630842499,DAILYSANDIEGO,Police: Man admits to killing wife in their El Cajon home  #local #SanDiego,United States,English,1/1/2016 22:26,1/1/2016 22:26,7031,12214,10362,,local,0,NewsFeed,0,2630842499,683051730846662656,http://twitter.com/DailySanDiego/statuses/683051730846662656,,,
